GENDER,ACTIVE,DISTRESS,DISLAT,DURATION,SMILAU,SOOTH,ATTRACT,COND,BEHAVE,BABYSEX,CUTENESS,CELL,TOTALNEG,TOTALPOS,REVTOTNE,TOTAL
1.0,4.59,4.7,4.31,3.36,4.2,3.82,8.0,4.0,2.0,2.0,1.0,7.0,13.599999999999998,11.379999999999999,7.400000000000002,18.78
2.0,5.47,5.7,5.5,3.0,3.33,3.82,8.0,4.0,2.0,2.0,1.0,8.0,16.67,10.15,4.329999999999998,14.479999999999999
2.0,5.88,5.35,4.81,3.09,2.93,3.2,8.0,4.0,2.0,2.0,1.0,8.0,16.04,9.22,4.960000000000001,14.180000000000001
2.0,6.0,5.8,5.75,2.73,2.33,4.0,7.0,4.0,2.0,2.0,1.0,8.0,17.55,9.06,3.4499999999999993,12.51
2.0,6.12,5.35,4.31,3.18,3.07,4.8,7.0,4.0,2.0,2.0,1.0,8.0,15.779999999999998,11.049999999999999,5.220000000000002,16.270000000000003
2.0,4.24,4.2,4.44,3.36,3.13,3.91,5.0,4.0,2.0,2.0,1.0,8.0,12.880000000000003,10.4,8.119999999999997,18.519999999999996
2.0,5.82,5.15,4.5,3.64,3.13,3.5,7.0,4.0,2.0,2.0,1.0,8.0,15.47,10.27,5.529999999999999,15.799999999999999
2.0,4.59,4.6,4.5,4.27,4.13,4.3,8.0,4.0,2.0,2.0,1.0,8.0,13.69,12.7,7.3100000000000005,20.009999999999998
2.0,5.41,5.0,3.63,3.27,4.27,4.36,6.0,4.0,2.0,2.0,1.0,8.0,14.04,11.899999999999999,6.960000000000001,18.86
2.0,4.88,5.0,4.56,3.36,4.73,4.3,5.0,4.0,2.0,2.0,1.0,8.0,14.439999999999998,12.39,6.560000000000002,18.950000000000003
2.0,5.59,5.25,4.5,2.73,4.07,3.9,6.0,4.0,2.0,2.0,1.0,8.0,15.34,10.700000000000001,5.66,16.36
1.0,4.82,4.1,3.63,3.55,5.0,4.45,6.0,5.0,1.0,1.0,2.0,9.0,12.55,13.0,8.45,21.45
1.0,4.82,3.7,3.38,4.91,4.53,5.18,7.0,5.0,1.0,1.0,2.0,9.0,11.899999999999999,14.620000000000001,9.100000000000001,23.720000000000002
1.0,5.71,4.85,4.56,4.91,5.13,4.8,7.0,5.0,1.0,1.0,2.0,9.0,15.119999999999997,14.84,5.880000000000003,20.720000000000002
1.0,3.65,3.1,2.81,4.73,5.8,5.9,7.0,5.0,1.0,1.0,2.0,9.0,9.56,16.43,11.44,27.869999999999997
1.0,4.29,3.45,3.56,4.36,4.8,4.7,6.0,5.0,1.0,1.0,2.0,9.0,11.3,13.86,9.7,23.56
1.0,4.53,4.75,4.31,4.91,4.73,4.9,9.0,5.0,1.0,1.0,2.0,9.0,13.59,14.540000000000001,7.41,21.950000000000003
1.0,3.41,3.5,2.88,3.55,4.81,4.4,8.0,5.0,1.0,1.0,2.0,9.0,9.79,12.760000000000002,11.21,23.970000000000002
1.0,3.82,3.15,2.69,5.18,5.27,4.5,9.0,5.0,1.0,1.0,2.0,9.0,9.66,14.95,11.34,26.29
1.0,5.06,4.35,4.25,4.55,4.93,4.8,4.0,5.0,1.0,1.0,2.0,9.0,13.66,14.280000000000001,7.34,21.62
1.0,6.0,2.0,4.0,6.0,7.0,5.0,8.0,5.0,1.0,1.0,2.0,9.0,12.0,18.0,9.0,27.0
1.0,4.29,4.4,4.59,4.64,4.13,4.0,6.0,5.0,1.0,1.0,2.0,9.0,13.280000000000001,12.77,7.719999999999999,20.49
1.0,4.65,4.35,4.5,4.18,4.93,4.6,8.0,5.0,1.0,1.0,2.0,9.0,13.5,13.709999999999999,7.5,21.21
